therapeutic_id,target_name,target_kind,action_type,is_primary_target,target_notes
aab-003,Amyloid-Related,pathway_or_process,antibody,True,AAB-003 is a humanized version of the anti-Aβ mouse antibody 3D6 and a derivative of bapineuzumab (AAB-001).
aadvac1,Tau,pathway_or_process,antibody,True,This is an active vaccine designed to elicit an immune response against pathologically modified forms of tau protein.
aav-gad,Other Neurotransmitters,pathway_or_process,gene_therapy,True,AAV-GAD is a gene therapy for Parkinson’s disease.
aav2-bdnf,Other,pathway_or_process,gene_therapy,True,This gene therapy uses an adeno-associated virus serotype 2 (AAV2) vector to carry a gene for human brain-derived neurotrophic factor into the brain.
abbv-1088,Other,pathway_or_process,small_molecule,True,ABBV-1088 is an activator of the mitochondrial kinase PINK1.
abbv-552,Other,pathway_or_process,small_molecule,True,"Formerly called SDI-118, ABBV-552 is an oral drug that modulates synaptic vesicle glycoprotein 2A (SV2A)."
abbv-916,Amyloid-Related,pathway_or_process,antibody,True,ABBV-916 is a monoclonal antibody to Aβ.
abt-089,Cholinergic System,pathway_or_process,small_molecule,True,
abt-288,Cholinergic System,pathway_or_process,small_molecule,True,"Abbott, now AbbVie, was developing this histamine H3 receptor antagonist for the treatment of cognitive deficits in Alzheimer's and schizophrenia."
abt-288,Other Neurotransmitters,pathway_or_process,small_molecule,False,"Abbott, now AbbVie, was developing this histamine H3 receptor antagonist for the treatment of cognitive deficits in Alzheimer's and schizophrenia."
abt-384,Other,pathway_or_process,small_molecule,True,This is a selective 11-β-hydroxysteroid dehydrogenase type 1 (HSD-1) inhibitor that was evaluated to test the hypothesis that elevated cortisol levels in the brain contribute to cognitive impairment.
abt-418,Cholinergic System,pathway_or_process,small_molecule,True,"Acute administration of nicotine to AD patients improved accuracy of delayed recall, as well as deficits in attention and information processing ( Sahakian et al."
abt-957,Other,pathway_or_process,small_molecule,True,This compound is an inhibitor of the calcium-dependent cysteine protease calpain.
abvac40,Amyloid-Related,pathway_or_process,antibody,True,ABvac40 is an investigational vaccine targeting the C terminus of Aβ40.
acd856,Other,pathway_or_process,small_molecule,True,"This small molecule is a positive allosteric modulator of Trk receptors, which mediate the effects of BDNF, NGF, and other neurotrophic factors."
acetyl-l-carnitine-hci,Other,pathway_or_process,supplement,True,ALCAR is a naturally occurring substance.
aci-24060,Amyloid-Related,pathway_or_process,antibody,True,ACI-24 is a liposome vaccine designed to elicit an antibody response against aggregated Aβ peptides without concomitant pro-inflammatory T cell activation.
aci-3024,Tau,pathway_or_process,small_molecule,True,ACI-3024 is a small-molecule inhibitor of tau aggregation.
aci-7104056,alpha-synuclein,pathway_or_process,antibody,True,PD01A is an active vaccine to α-synuclein.
acitretin,Amyloid-Related,pathway_or_process,small_molecule,True,Acitretin is a retinoid drug used primarily to treat severe psoriasis.
acp-204,Other Neurotransmitters,pathway_or_process,small_molecule,True,ACP-204 acts as an inverse agonist at the 5-HT2A serotonin receptor.
adel-y01,Tau,pathway_or_process,antibody,True,ADEL-Y01 is a humanized IgG1 monoclonal antibody that binds tau protein modified by acetylation at lysine residue 280.
aduhelm,Amyloid-Related,pathway_or_process,antibody,True,"BIIB037 is a high-affinity, fully human IgG1 monoclonal antibody against a conformational epitope found on Aβ."
af-102b,Cholinergic System,pathway_or_process,small_molecule,True,Hypo-activity of the cholinergic system is associated AD and cognitive decline.
affitope-ad02,Amyloid-Related,pathway_or_process,antibody,True,Affitope AD02 is a synthetic peptide of six amino acids that mimics the N-terminus of Aβ.
agb101,Amyloid-Related,pathway_or_process,small_molecule,True,"AGB101 is a proprietary, once-daily, extended-release, low-dose formulation of the FDA-approved atypical anti-convulsant medication levetiracetam."
ait-101,Other,pathway_or_process,small_molecule,True,"AIT-101 is a proprietary oral formulation of apilimod, an inhibitor of the phosphatidylinositol phosphate kinase PIKfyve."
akst4290,Inflammation,pathway_or_process,small_molecule,True,AKST4290 is an antagonist of the G protein-coupled C-C chemokine receptor type 3 (CCR3).
al002,Inflammation,pathway_or_process,antibody,True,This humanized monoclonal IgG1 antibody was being developed in a partnership between Alector and AbbVie.
al003,Inflammation,pathway_or_process,antibody,True,AL003 is a monoclonal antibody that was being co-developed by Alector and Abbvie.
al044,Inflammation,pathway_or_process,antibody,True,AL044 is an antibody targeting the MSA4 family of transmembrane cell surface proteins expressed on microglia.
al101,Other,pathway_or_process,antibody,True,"AL101 is a monoclonal antibody to sortilin (SORT1), a trans-Golgi sorting receptor abundantly expressed in the nervous system."
alia-1758,Amyloid-Related,pathway_or_process,antibody,True,ALIA-1758 is a bispecific antibody construct.
allopregnanolone,Other Neurotransmitters,pathway_or_process,small_molecule,True,Allopregnanolone is a neurosteroid metabolite of progesterone.
allopregnanolone,Other,pathway_or_process,small_molecule,False,Allopregnanolone is a neurosteroid metabolite of progesterone.
alpha-tocopherol,Other,pathway_or_process,supplement,True,Vitamin E is a lipophilic monophenolic compound that can donate a hydrogen atom to saturate and detoxify the unpaired electron of a free radical.
alx-001,Amyloid-Related,pathway_or_process,small_molecule,True,ALX-001 is an allosteric modulator of the metabotropic glutamate receptor type 5 (mGluR5).
alx-001,Other Neurotransmitters,pathway_or_process,small_molecule,False,ALX-001 is an allosteric modulator of the metabotropic glutamate receptor type 5 (mGluR5).
alz-101,Amyloid-Related,pathway_or_process,antibody,True,"This candidate vaccine is designed to provoke an immune response specific to soluble oligomeric Aβ assemblies, but not to monomeric or fibrillar Aβ."
alz-801,Amyloid-Related,pathway_or_process,small_molecule,True,"This is a prodrug of homotaurine, a modified amino acid previously developed under the names tramiprosate and Alzhemed™."
alzhemedtm,Amyloid-Related,pathway_or_process,supplement,True,Alzhemed was designed as an anti-amyloid therapy.
alzt-op1,Amyloid-Related,pathway_or_process,small_molecule,True,"ALZT-OP1 is a combination regimen of two FDA-approved drugs, cromolyn (designated ALZT OP1a) and ibuprofen (designated ALZT OP1b)."
alzt-op1,Inflammation,pathway_or_process,small_molecule,False,"ALZT-OP1 is a combination regimen of two FDA-approved drugs, cromolyn (designated ALZT OP1a) and ibuprofen (designated ALZT OP1b)."
ambroxol,alpha-synuclein,pathway_or_process,small_molecule,True,Ambroxol is a mucolytic compound and the main ingredient of over-the-counter cough medicines sold in many countries.
ambroxol,Other,pathway_or_process,small_molecule,False,Ambroxol is a mucolytic compound and the main ingredient of over-the-counter cough medicines sold in many countries.
amilomotide,Amyloid-Related,pathway_or_process,antibody,True,"This is an active vaccination strategy that aims to elicit a strong antibody response while avoiding inflammatory T cell activation (reviewed in Lemere and Masliah, 2010 )."
an-1792,Amyloid-Related,pathway_or_process,antibody,True,AN-1792 was the first active immunotherapy strategy for Alzheimer's disease.
anpd001,Other Neurotransmitters,pathway_or_process,,True,ANPD001 is a dopaminergic neuron replacement therapy derived from a patient’s own tissue.
anx005,Inflammation,pathway_or_process,antibody,True,ANX005 is a humanized IgG4 monoclonal antibody that binds with high affinity to the complement C1q protein and inhibits initiation of the classical complement cascade.
anx005,Other,pathway_or_process,antibody,False,ANX005 is a humanized IgG4 monoclonal antibody that binds with high affinity to the complement C1q protein and inhibits initiation of the classical complement cascade.
apabetalone,Other,pathway_or_process,small_molecule,True,"Apabetalone binds and inhibits bromodomain and extra-terminal domain (BET) proteins, preventing them from binding acetylated lysines in histones to activate gene transcription."
apnmab005,Tau,pathway_or_process,antibody,True,This is a humanized monoclonal anti-tau IgG antibody that recognizes a conformational epitope in tau oligomers.
aqneursa,Inflammation,pathway_or_process,small_molecule,True,N-acetyl-L-leucine is a modified derivative and prodrug of the naturally occurring essential amino acid leucine.
aqneursa,Other,pathway_or_process,small_molecule,False,N-acetyl-L-leucine is a modified derivative and prodrug of the naturally occurring essential amino acid leucine.
aqw051,Cholinergic System,pathway_or_process,small_molecule,True,"AQW 051 is an α7 nicotinic acetylcholine receptor (nAChR) agonist for the oral treatment of cognitive deficits in schizophrenia, Alzheimer's, and Parkinson's diseases."
ar1001,Other,pathway_or_process,small_molecule,True,Ar1001 is a selective inhibitor of phosphodiesterase 5.
arimoclomol,Cholesterol,pathway_or_process,small_molecule,True,Arimoclomol is a small molecule that improves lysosome function.
arimoclomol,Other,pathway_or_process,small_molecule,False,Arimoclomol is a small molecule that improves lysosome function.
aripiprazole,Other Neurotransmitters,pathway_or_process,small_molecule,True,"Aripiprazole is an antipsychotic medication that was FDA-approved in 2002 for the treatment of schizophrenia and is widely used for related affective disorders, as well."
arv-102,Other,pathway_or_process,small_molecule,True,"ARV-102 is an oral, brain-penetrant small molecule that induces the degradation of leucine-rich repeat kinase 2 (LRRK2) protein."
asn51,Tau,pathway_or_process,small_molecule,True,"ASN51 is a small-molecule inhibitor of O-GlycNAcase (OGA), the glycoside hydrolase enzyme that removes O-linked N-acetylglucosamine (N-GlcNAc) from proteins."
asn90,Tau,pathway_or_process,small_molecule,True,"ASN90 is an inhibitor of O-GlcNAcase, the glycoside hydrolase enzyme that removes O-linked N-acetylglucosamine (N-GlcNAc) from proteins."
atabecestat,Amyloid-Related,pathway_or_process,small_molecule,True,This is a tablet drug affecting amyloid precursor protein (APP) and its processing products.
atb2005a,Tau,pathway_or_process,small_molecule,True,This small molecule combines a tau-binding domain with a peptide that stimulates autophagy to activate degradation of intracellular tau aggregates.
atomoxetine,Other Neurotransmitters,pathway_or_process,small_molecule,True,Atomoxetine is a norepinephrine uptake inhibitor.
atorvastatin,Cholesterol,pathway_or_process,small_molecule,True,"Atorvastatin is an oral statin drug that was developed by Pfizer’s predecessor, Parke-Davis."
atuzaginstat,Other,pathway_or_process,small_molecule,True,This small molecule is an orally available protease inhibitor targeting the lysine proteases of the periodontal pathogen Porphyromonas gingivalis.
autologous-adipose-derived-stem-cells,Other,pathway_or_process,,True,This approach uses mesenchymal stem cells isolated from a patient’s own fat tissue to treat neurodegenerative diseases.
av-1959d,Amyloid-Related,pathway_or_process,antibody,True,AV-1959D is an NIH-funded DNA vaccine designed to elicit antibodies to Aβ peptides without activating potentially harmful autoreactive T cells.
av-1980ra,Tau,pathway_or_process,antibody,True,AV-1980R/A is recombinant protein-based tau vaccine designed to elicit antibodies to pathologic tau.
avagacestat,Amyloid-Related,pathway_or_process,small_molecule,True,"This arylsulfonamide γ-secretase inhibitor was reported to selectively block processing of the enzyme's APP substrate, relatively sparing Notch processing."
avb-101,Other,pathway_or_process,gene_therapy,True,AVB-101 is a gene therapy designed to deliver a copy of the human progranulin gene to the brain.
avp-786,Other Neurotransmitters,pathway_or_process,small_molecule,True,"This investigational therapeutic is a deuterated, second-generation version of AVP-923 /Nuedexta, a fixed-dose combination of two approved drugs."
avp-923,Other Neurotransmitters,pathway_or_process,small_molecule,True,AVP-923 is a fixed-dose combination of two approved drugs.
axs-05,Other Neurotransmitters,pathway_or_process,small_molecule,True,AXS-05 is a fixed-dose combination of two approved drugs being developed for the treatment of agitation in people with Alzheimer’s disease.
azd1446,Cholinergic System,pathway_or_process,small_molecule,True,AZD1446 selectively activates the α4β2 subtype of nicotinic acetylcholine receptor.
azd3293,Amyloid-Related,pathway_or_process,small_molecule,True,"AZD3293 is an inhibitor of BACE1, the β-secretase sheddase that cleaves the APP protein to release APP's C99 fragment."
azd3480,Cholinergic System,pathway_or_process,small_molecule,True,
azeliragon,Amyloid-Related,pathway_or_process,small_molecule,True,"Azeliragon is an oral, small-molecule inhibitor of RAGE, a cell-surface receptor of the immunoglobulin superfamily."
azeliragon,Inflammation,pathway_or_process,small_molecule,False,"Azeliragon is an oral, small-molecule inhibitor of RAGE, a cell-surface receptor of the immunoglobulin superfamily."
bapineuzumab,Amyloid-Related,pathway_or_process,antibody,True,"Bapineuzumab is a humanized form of murine monoclonal antibody 3D6, which targets the N-terminal region of Aβ."
baricitinib,Inflammation,pathway_or_process,small_molecule,True,Baricitinib is an inhibitor of Janus kinase (JAK).
bemdaneprocel,Other Neurotransmitters,pathway_or_process,,True,This cell-based therapy consists of a neuron graft for the treatment of Parkinson’s disease.
bemdaneprocel,Other,pathway_or_process,,False,This cell-based therapy consists of a neuron graft for the treatment of Parkinson’s disease.
benfotiamine,Inflammation,pathway_or_process,supplement,True,"Benfotiamine is a synthetic, fat-soluble precursor of Vitamin B1 with high bioavailability."
benfotiamine,Other,pathway_or_process,supplement,False,"Benfotiamine is a synthetic, fat-soluble precursor of Vitamin B1 with high bioavailability."
bepranemab,Tau,pathway_or_process,antibody,True,"This humanized, monoclonal IgG4 antibody binds to the central region of tau, recognizing amino acids 235–250 near tau's microtubule-binding domain."
besipirdine-hcl,Other Neurotransmitters,pathway_or_process,small_molecule,True,Besipirdine was designed to address two biochemical deficits commonly observed in the AD brain: cholinergic and adrenergic activity.
bexarotene,Amyloid-Related,pathway_or_process,small_molecule,True,This retinoid drug is approved by the FDA and EMA to treat T cell lymphoma of the skin.
bexarotene,Unknown,pathway_or_process,small_molecule,False,This retinoid drug is approved by the FDA and EMA to treat T cell lymphoma of the skin.
bezisterim,Inflammation,pathway_or_process,small_molecule,True,"NE3107 is a derivative of β-androstenetriol, a naturally occurring adrenal sterol metabolite."
bezisterim,Other,pathway_or_process,small_molecule,False,"NE3107 is a derivative of β-androstenetriol, a naturally occurring adrenal sterol metabolite."
bi-1181181,Amyloid-Related,pathway_or_process,small_molecule,True,This compound is an inhibitor targeted to the catalytic site of the enzymes BACE1 and BACE2.
bi-409306,Other Neurotransmitters,pathway_or_process,small_molecule,True,BI 409306 is an inhibitor of phosphodiesterase 9A.
bi-409306,Other,pathway_or_process,small_molecule,False,BI 409306 is an inhibitor of phosphodiesterase 9A.
bifidobacterium-breve-a1,Other,pathway_or_process,supplement,True,Bifidobacterium breve A1 is a proprietary strain of probiotic bacteria isolated from the intestinal tract of an infant.
biib076,Tau,pathway_or_process,antibody,True,"BIIB076 is a human recombinant, monoclonal anti-tau IgG1 antibody generated by Neurimmune's reverse translational medicine platform."
biib078,Other,pathway_or_process,gene_therapy,True,BIIB078 is an antisense oligonucleotide targeting the chromosome 9 open reading frame 72 (C9ORF72) gene mRNA.
biib080,Tau,pathway_or_process,gene_therapy,True,This investigational therapeutic is the first antisense oligonucleotide (ASO) targeting tau expression to enter clinical trials.
biib100,Inflammation,pathway_or_process,small_molecule,True,"BIIB100 is an inhibitor of Exportin 1 (XPO1), a protein that mediates export of many proteins and RNA from the cell nucleus."
biib100,Other,pathway_or_process,small_molecule,False,"BIIB100 is an inhibitor of Exportin 1 (XPO1), a protein that mediates export of many proteins and RNA from the cell nucleus."
biib105,Other,pathway_or_process,gene_therapy,True,BIIB105 is an antisense oligonucleotide (ASO).
biib113,Tau,pathway_or_process,small_molecule,True,"BIIB113 is a small molecule inhibitor of O-GlcNACase, or OGA, an enzyme that catalyzes the removal of O-GlcNAc sugar modifications from proteins."
biib118,Other,pathway_or_process,small_molecule,True,PF-05251749 is an inhibitor of Casein kinase 1 delta and epsilon (CK1δ and ε).
blarcamesine,Other,pathway_or_process,small_molecule,True,This compound is an agonist of the intracellular sigma-1 chaperone protein.
bms-986446,Tau,pathway_or_process,antibody,True,PRX005 is Prothena’s anti-tau IgG1 humanized antibody.
bosutinib,Other,pathway_or_process,small_molecule,True,Bosutinib is an oral inhibitor of Abl and Src tyrosine kinases that has been approved since 2012 for the treatment of chronic myeloid leukemia.
bpn14770,Cholinergic System,pathway_or_process,small_molecule,True,"BPN14770 is an allosteric inhibitor of phosphodiesterase 4D (PDE4D), a regulator of the intracellular second messenger cAMP in neurons."
bpn14770,Other,pathway_or_process,small_molecule,False,"BPN14770 is an allosteric inhibitor of phosphodiesterase 4D (PDE4D), a regulator of the intracellular second messenger cAMP in neurons."
brexpiprazole,Other Neurotransmitters,pathway_or_process,small_molecule,True,"Brexpiprazole is an orally available dopamine receptor D2 partial agonist, and an atypical antipsychotic."
bryostatin-1,Other,pathway_or_process,,True,Bryostatin 1 is a natural product derived from the marine invertebrate Bugula neritina.
bt-267,Other,pathway_or_process,small_molecule,True,"BT-267 is a selective, brain-penetrant small molecule inhibitor of leucine-rich repeat kinase LRRK2."
buntanetap,Amyloid-Related,pathway_or_process,small_molecule,True,"Buntanetap, previously known as posiphen or ANVS-401, is the pure (+) enantiomer, i.e."
buntanetap,alpha-synuclein,pathway_or_process,small_molecule,False,"Buntanetap, previously known as posiphen or ANVS-401, is the pure (+) enantiomer, i.e."
bxcl501,Other,pathway_or_process,small_molecule,True,BXCL501 is an orally dissolvable film formulation of the α2A adrenergic receptor agonist dexmedetomidine.
candesartan,Other,pathway_or_process,small_molecule,True,Candesartan is an angiotensin II receptor antagonist used around the world to treat elevated blood pressure and congestive heart failure.
cannabidiol,Other Neurotransmitters,pathway_or_process,small_molecule,True,Cannabidiol is a major active compound of the cannabis plant.
carvedilol,Unknown,pathway_or_process,small_molecule,True,Carvedilol phosphate is a non-selective α/β-adrenergic receptor antagonist and vasodilator.
cdnf,Other,pathway_or_process,device_or_procedure,True,"The neurotrophic peptide CDNF promotes survival of midbrain dopaminergic neurons, which degenerate in Parkinson’s disease."
celecoxib,Inflammation,pathway_or_process,small_molecule,True,"The NSAID celecoxib is a selective cyclooxygenase-2 (COX-2) inhibitor, whose anti-inflammatory and analgesic effects partly result from the inhibition of prostaglandin synthesis."
ceperognastat,Tau,pathway_or_process,small_molecule,True,"This inhibitor of the O-GlcNAcase (OGA) enzyme was being developed as a potential treatment for tauopathies, including Alzheimer's disease."
cere-110,Other,pathway_or_process,gene_therapy,True,CERE-110 was a gene-therapy approach for neuroprotective treatment of Alzheimer's disease.
cerebrolysin,Other,pathway_or_process,,True,
chf-5074,Amyloid-Related,pathway_or_process,small_molecule,True,"This compound was initially reported as a γ-secretase modulator but is now portrayed as acting on multiple targets, particularly microglia."
chf-5074,Inflammation,pathway_or_process,small_molecule,False,"This compound was initially reported as a γ-secretase modulator but is now portrayed as acting on multiple targets, particularly microglia."
chf-5074,Other,pathway_or_process,small_molecule,False,"This compound was initially reported as a γ-secretase modulator but is now portrayed as acting on multiple targets, particularly microglia."
cinpanemab,alpha-synuclein,pathway_or_process,antibody,True,Cinpanemab is a human-derived monoclonal antibody directed against α-synuclein.
circadin,Other,pathway_or_process,small_molecule,True,"Circadin is an extended-release formulation of melatonin, a hormone that is released by the pineal gland into the CSF at night to regulate circadian rhythms and induce sleepiness."
citalopram,Other Neurotransmitters,pathway_or_process,small_molecule,True,Citalopram is a selective serotonin reuptake inhibitor used to treat depression and anxiety.
clioquinol,Amyloid-Related,pathway_or_process,small_molecule,True,Clioquinol is an old drug that was used to treat fungal and protozoal infections but was found to be neurotoxic when used chronically at high doses.
clioquinol,Metals,pathway_or_process,small_molecule,False,Clioquinol is an old drug that was used to treat fungal and protozoal infections but was found to be neurotoxic when used chronically at high doses.
cnm-au8,Metals,pathway_or_process,,True,CNM-Au8 is a preparation of pure elemental gold nanoparticles in a drinkable bicarbonate solution.
cnm-au8,Other,pathway_or_process,,False,CNM-Au8 is a preparation of pure elemental gold nanoparticles in a drinkable bicarbonate solution.
cocoa-flavanols,Inflammation,pathway_or_process,supplement,True,"Flavanols are naturally occurring bioactive plant products in tea, wine, and chocolate."
cocoa-flavanols,Other,pathway_or_process,supplement,False,"Flavanols are naturally occurring bioactive plant products in tea, wine, and chocolate."
cognishunt%E2%84%A2,Other,pathway_or_process,device_or_procedure,True,"The accumulation of amyloid plaques, neurofibrillary tangles, and neurodegeneration is thought to be due at least in part to the failure to clear circulating soluble Aβ and tau."
continuous-positive-airway-pressure,Unknown,pathway_or_process,device_or_procedure,True,Continuous Positive Airway Pressure (CPAP) is an approved treatment using a machine and nasal mask to deliver continuous air flow and help keep the airways open during sleep.
coya-302,Inflammation,pathway_or_process,,True,This immunomodulatory therapy combines low-dose interleukin-2 with an antibody to the cytotoxic T lymphocyte antigen 4 (CTLA4-Ig).
cpg-1018r,Amyloid-Related,pathway_or_process,antibody,True,"CpG 1018 is a proprietary immune adjuvant made up of short, unmethylated cytosine-phosphate-guanine oligodeoxynucleotides (CpG ODNs)."
cpg-1018r,Inflammation,pathway_or_process,antibody,False,"CpG 1018 is a proprietary immune adjuvant made up of short, unmethylated cytosine-phosphate-guanine oligodeoxynucleotides (CpG ODNs)."
