source_id,target_id,action_type,is_primary_target,source,target_notes
aab-003,GO:0034205,antibody,True,AlzForum.Therapeutics,AAB-003 is a humanized version of the anti-Aβ mouse antibody 3D6 and a derivative of bapineuzumab (AAB-001).
aab-003,GO:0050435,antibody,True,AlzForum.Therapeutics,AAB-003 is a humanized version of the anti-Aβ mouse antibody 3D6 and a derivative of bapineuzumab (AAB-001).
abbv-916,GO:0034205,antibody,True,AlzForum.Therapeutics,ABBV-916 is a monoclonal antibody to Aβ.
abbv-916,GO:0050435,antibody,True,AlzForum.Therapeutics,ABBV-916 is a monoclonal antibody to Aβ.
abvac40,GO:0034205,antibody,True,AlzForum.Therapeutics,ABvac40 is an investigational vaccine targeting the C terminus of Aβ40.
abvac40,GO:0050435,antibody,True,AlzForum.Therapeutics,ABvac40 is an investigational vaccine targeting the C terminus of Aβ40.
aci-24060,GO:0034205,antibody,True,AlzForum.Therapeutics,ACI-24 is a liposome vaccine designed to elicit an antibody response against aggregated Aβ peptides without concomitant pro-inflammatory T cell activation.
aci-24060,GO:0050435,antibody,True,AlzForum.Therapeutics,ACI-24 is a liposome vaccine designed to elicit an antibody response against aggregated Aβ peptides without concomitant pro-inflammatory T cell activation.
acitretin,GO:0034205,small_molecule,True,AlzForum.Therapeutics,Acitretin is a retinoid drug used primarily to treat severe psoriasis.
acitretin,GO:0050435,small_molecule,True,AlzForum.Therapeutics,Acitretin is a retinoid drug used primarily to treat severe psoriasis.
aduhelm,GO:0034205,antibody,True,AlzForum.Therapeutics,"BIIB037 is a high-affinity, fully human IgG1 monoclonal antibody against a conformational epitope found on Aβ."
aduhelm,GO:0050435,antibody,True,AlzForum.Therapeutics,"BIIB037 is a high-affinity, fully human IgG1 monoclonal antibody against a conformational epitope found on Aβ."
affitope-ad02,GO:0034205,antibody,True,AlzForum.Therapeutics,Affitope AD02 is a synthetic peptide of six amino acids that mimics the N-terminus of Aβ.
affitope-ad02,GO:0050435,antibody,True,AlzForum.Therapeutics,Affitope AD02 is a synthetic peptide of six amino acids that mimics the N-terminus of Aβ.
agb101,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"AGB101 is a proprietary, once-daily, extended-release, low-dose formulation of the FDA-approved atypical anti-convulsant medication levetiracetam."
agb101,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"AGB101 is a proprietary, once-daily, extended-release, low-dose formulation of the FDA-approved atypical anti-convulsant medication levetiracetam."
alia-1758,GO:0034205,antibody,True,AlzForum.Therapeutics,ALIA-1758 is a bispecific antibody construct.
alia-1758,GO:0050435,antibody,True,AlzForum.Therapeutics,ALIA-1758 is a bispecific antibody construct.
alx-001,GO:0034205,small_molecule,True,AlzForum.Therapeutics,ALX-001 is an allosteric modulator of the metabotropic glutamate receptor type 5 (mGluR5).
alx-001,GO:0050435,small_molecule,True,AlzForum.Therapeutics,ALX-001 is an allosteric modulator of the metabotropic glutamate receptor type 5 (mGluR5).
alz-101,GO:0034205,antibody,True,AlzForum.Therapeutics,"This candidate vaccine is designed to provoke an immune response specific to soluble oligomeric Aβ assemblies, but not to monomeric or fibrillar Aβ."
alz-101,GO:0050435,antibody,True,AlzForum.Therapeutics,"This candidate vaccine is designed to provoke an immune response specific to soluble oligomeric Aβ assemblies, but not to monomeric or fibrillar Aβ."
alz-801,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"This is a prodrug of homotaurine, a modified amino acid previously developed under the names tramiprosate and Alzhemed™."
alz-801,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"This is a prodrug of homotaurine, a modified amino acid previously developed under the names tramiprosate and Alzhemed™."
alzhemedtm,GO:0034205,supplement,True,AlzForum.Therapeutics,Alzhemed was designed as an anti-amyloid therapy.
alzhemedtm,GO:0050435,supplement,True,AlzForum.Therapeutics,Alzhemed was designed as an anti-amyloid therapy.
alzt-op1,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"ALZT-OP1 is a combination regimen of two FDA-approved drugs, cromolyn (designated ALZT OP1a) and ibuprofen (designated ALZT OP1b)."
alzt-op1,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"ALZT-OP1 is a combination regimen of two FDA-approved drugs, cromolyn (designated ALZT OP1a) and ibuprofen (designated ALZT OP1b)."
amilomotide,GO:0034205,antibody,True,AlzForum.Therapeutics,"This is an active vaccination strategy that aims to elicit a strong antibody response while avoiding inflammatory T cell activation (reviewed in Lemere and Masliah, 2010 )."
amilomotide,GO:0050435,antibody,True,AlzForum.Therapeutics,"This is an active vaccination strategy that aims to elicit a strong antibody response while avoiding inflammatory T cell activation (reviewed in Lemere and Masliah, 2010 )."
an-1792,GO:0034205,antibody,True,AlzForum.Therapeutics,AN-1792 was the first active immunotherapy strategy for Alzheimer's disease.
an-1792,GO:0050435,antibody,True,AlzForum.Therapeutics,AN-1792 was the first active immunotherapy strategy for Alzheimer's disease.
atabecestat,GO:0034205,small_molecule,True,AlzForum.Therapeutics,This is a tablet drug affecting amyloid precursor protein (APP) and its processing products.
atabecestat,GO:0050435,small_molecule,True,AlzForum.Therapeutics,This is a tablet drug affecting amyloid precursor protein (APP) and its processing products.
av-1959d,GO:0034205,antibody,True,AlzForum.Therapeutics,AV-1959D is an NIH-funded DNA vaccine designed to elicit antibodies to Aβ peptides without activating potentially harmful autoreactive T cells.
av-1959d,GO:0050435,antibody,True,AlzForum.Therapeutics,AV-1959D is an NIH-funded DNA vaccine designed to elicit antibodies to Aβ peptides without activating potentially harmful autoreactive T cells.
avagacestat,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"This arylsulfonamide γ-secretase inhibitor was reported to selectively block processing of the enzyme's APP substrate, relatively sparing Notch processing."
avagacestat,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"This arylsulfonamide γ-secretase inhibitor was reported to selectively block processing of the enzyme's APP substrate, relatively sparing Notch processing."
azd3293,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"AZD3293 is an inhibitor of BACE1, the β-secretase sheddase that cleaves the APP protein to release APP's C99 fragment."
azd3293,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"AZD3293 is an inhibitor of BACE1, the β-secretase sheddase that cleaves the APP protein to release APP's C99 fragment."
azeliragon,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"Azeliragon is an oral, small-molecule inhibitor of RAGE, a cell-surface receptor of the immunoglobulin superfamily."
azeliragon,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"Azeliragon is an oral, small-molecule inhibitor of RAGE, a cell-surface receptor of the immunoglobulin superfamily."
bapineuzumab,GO:0034205,antibody,True,AlzForum.Therapeutics,"Bapineuzumab is a humanized form of murine monoclonal antibody 3D6, which targets the N-terminal region of Aβ."
bapineuzumab,GO:0050435,antibody,True,AlzForum.Therapeutics,"Bapineuzumab is a humanized form of murine monoclonal antibody 3D6, which targets the N-terminal region of Aβ."
bexarotene,GO:0034205,small_molecule,True,AlzForum.Therapeutics,This retinoid drug is approved by the FDA and EMA to treat T cell lymphoma of the skin.
bexarotene,GO:0050435,small_molecule,True,AlzForum.Therapeutics,This retinoid drug is approved by the FDA and EMA to treat T cell lymphoma of the skin.
bi-1181181,GO:0034205,small_molecule,True,AlzForum.Therapeutics,This compound is an inhibitor targeted to the catalytic site of the enzymes BACE1 and BACE2.
bi-1181181,GO:0050435,small_molecule,True,AlzForum.Therapeutics,This compound is an inhibitor targeted to the catalytic site of the enzymes BACE1 and BACE2.
buntanetap,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"Buntanetap, previously known as posiphen or ANVS-401, is the pure (+) enantiomer, i.e."
buntanetap,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"Buntanetap, previously known as posiphen or ANVS-401, is the pure (+) enantiomer, i.e."
chf-5074,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"This compound was initially reported as a γ-secretase modulator but is now portrayed as acting on multiple targets, particularly microglia."
chf-5074,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"This compound was initially reported as a γ-secretase modulator but is now portrayed as acting on multiple targets, particularly microglia."
clioquinol,GO:0034205,small_molecule,True,AlzForum.Therapeutics,Clioquinol is an old drug that was used to treat fungal and protozoal infections but was found to be neurotoxic when used chronically at high doses.
clioquinol,GO:0050435,small_molecule,True,AlzForum.Therapeutics,Clioquinol is an old drug that was used to treat fungal and protozoal infections but was found to be neurotoxic when used chronically at high doses.
cpg-1018r,GO:0034205,antibody,True,AlzForum.Therapeutics,"CpG 1018 is a proprietary immune adjuvant made up of short, unmethylated cytosine-phosphate-guanine oligodeoxynucleotides (CpG ODNs)."
cpg-1018r,GO:0050435,antibody,True,AlzForum.Therapeutics,"CpG 1018 is a proprietary immune adjuvant made up of short, unmethylated cytosine-phosphate-guanine oligodeoxynucleotides (CpG ODNs)."
crenezumab,GO:0034205,antibody,True,AlzForum.Therapeutics,Crenezumab represents a passive immunotherapy approach in which patients are treated with monoclonal antibodies that specifically recognize Aβ peptides.
crenezumab,GO:0050435,antibody,True,AlzForum.Therapeutics,Crenezumab represents a passive immunotherapy approach in which patients are treated with monoclonal antibodies that specifically recognize Aβ peptides.
cs6253,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"This agonist peptide increases the activity of the adenosine triphosphate-binding cassette transporter A1 (ABCA1), which regulates cholesterol efflux from cells."
cs6253,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"This agonist peptide increases the activity of the adenosine triphosphate-binding cassette transporter A1 (ABCA1), which regulates cholesterol efflux from cells."
dnl919,GO:0034205,antibody,True,AlzForum.Therapeutics,This TREM2 agonist antibody activates microglia to phagocytose amyloid.
dnl919,GO:0050435,antibody,True,AlzForum.Therapeutics,This TREM2 agonist antibody activates microglia to phagocytose amyloid.
efavirenz,GO:0034205,small_molecule,True,AlzForum.Therapeutics,Efavirenz is an FDA-approved anti-retroviral medication used for human immunodeficiency virus infection.
efavirenz,GO:0050435,small_molecule,True,AlzForum.Therapeutics,Efavirenz is an FDA-approved anti-retroviral medication used for human immunodeficiency virus infection.
elenbecestat,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"Elenbecestat is a small-molecule inhibitor of BACE, aka the β-secretase enzyme."
elenbecestat,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"Elenbecestat is a small-molecule inhibitor of BACE, aka the β-secretase enzyme."
elnd005,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"Originally developed by Transition Therapeutics, ELND005 was temporarily taken over by Elan Corporation, Speranza's parent company."
elnd005,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"Originally developed by Transition Therapeutics, ELND005 was temporarily taken over by Elan Corporation, Speranza's parent company."
epigallocatechin-gallate-egcg,GO:0034205,supplement,True,AlzForum.Therapeutics,EGCG is a polyphenolic flavonoid extracted from green tea leaves and widely considered to be the key bioactive ingredient of green tea.
epigallocatechin-gallate-egcg,GO:0050435,supplement,True,AlzForum.Therapeutics,EGCG is a polyphenolic flavonoid extracted from green tea leaves and widely considered to be the key bioactive ingredient of green tea.
evp-0962,GO:0034205,small_molecule,True,AlzForum.Therapeutics,EVP-0962 is a γ-secretase modulator.
evp-0962,GO:0050435,small_molecule,True,AlzForum.Therapeutics,EVP-0962 is a γ-secretase modulator.
flurizan,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"Flurizan™ is the R-enantiomer of the nonsteroidal anti-inflammatory flurbiprofen, an NSAID that is structurally and pharmacologically related to ibuprofen and is used to treat several inflammatory conditions."
flurizan,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"Flurizan™ is the R-enantiomer of the nonsteroidal anti-inflammatory flurbiprofen, an NSAID that is structurally and pharmacologically related to ibuprofen and is used to treat several inflammatory conditions."
focused-ultrasound-blood-brain-barrier,GO:0034205,device_or_procedure,True,AlzForum.Therapeutics,Focused ultrasound with microbubbles is a noninvasive procedure that transiently opens the blood-brain barrier (BBB) using low-intensity sound waves.
focused-ultrasound-blood-brain-barrier,GO:0050435,device_or_procedure,True,AlzForum.Therapeutics,Focused ultrasound with microbubbles is a noninvasive procedure that transiently opens the blood-brain barrier (BBB) using low-intensity sound waves.
gammagardr,GO:0034205,antibody,True,AlzForum.Therapeutics,Gammagard® is a preparation of pooled human plasma antibodies from blood donations.
gammagardr,GO:0050435,antibody,True,AlzForum.Therapeutics,Gammagard® is a preparation of pooled human plasma antibodies from blood donations.
gamunex,GO:0034205,antibody,True,AlzForum.Therapeutics,This immunoglobulin preparation is used in obstetric indications to prevent and treat blood conditions related to rhesus factor incompatibility.
gamunex,GO:0050435,antibody,True,AlzForum.Therapeutics,This immunoglobulin preparation is used in obstetric indications to prevent and treat blood conditions related to rhesus factor incompatibility.
gantenerumab,GO:0034205,antibody,True,AlzForum.Therapeutics,Gantenerumab is a fully human IgG1 antibody designed to bind with subnanomolar affinity to a conformational epitope on Aβ fibrils.
gantenerumab,GO:0050435,antibody,True,AlzForum.Therapeutics,Gantenerumab is a fully human IgG1 antibody designed to bind with subnanomolar affinity to a conformational epitope on Aβ fibrils.
gsk933776,GO:0034205,antibody,True,AlzForum.Therapeutics,GSK933776 is a humanized mouse IgG1 monoclonal antibody directed against the N-terminus of the Aβ peptide.
gsk933776,GO:0050435,antibody,True,AlzForum.Therapeutics,GSK933776 is a humanized mouse IgG1 monoclonal antibody directed against the N-terminus of the Aβ peptide.
gv-971,GO:0034205,small_molecule,True,AlzForum.Therapeutics,This mixture of acidic linear oligosaccharides is derived from brown algae.
gv-971,GO:0050435,small_molecule,True,AlzForum.Therapeutics,This mixture of acidic linear oligosaccharides is derived from brown algae.
ibc-ab002,GO:0034205,antibody,True,AlzForum.Therapeutics,"This humanized IgG1 antibody inhibits an immune checkpoint protein called programmed death ligand, aka PD-L1, stimulating the immune system."
ibc-ab002,GO:0050435,antibody,True,AlzForum.Therapeutics,"This humanized IgG1 antibody inhibits an immune checkpoint protein called programmed death ligand, aka PD-L1, stimulating the immune system."
ibuprofen,GO:0034205,small_molecule,True,AlzForum.Therapeutics,Ibuprofen is an over-the-counter non-steroidal anti-inflammatory drug (NSAID).
ibuprofen,GO:0050435,small_molecule,True,AlzForum.Therapeutics,Ibuprofen is an over-the-counter non-steroidal anti-inflammatory drug (NSAID).
