source_id,target_id,action_type,is_primary_target,source,target_notes
kisunla,GO:0034205,antibody,True,AlzForum.Therapeutics,"Donanemab, aka N3pG, is a humanized IgG1 monoclonal antibody developed from mouse mE8-IgG2a."
kisunla,GO:0050435,antibody,True,AlzForum.Therapeutics,"Donanemab, aka N3pG, is a humanized IgG1 monoclonal antibody developed from mouse mE8-IgG2a."
lenalidomide,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"Lenalidomide is an anti-cancer drug with pleiotropic anti-inflammatory, anti-angiogenic, and immune stimulatory activities."
lenalidomide,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"Lenalidomide is an anti-cancer drug with pleiotropic anti-inflammatory, anti-angiogenic, and immune stimulatory activities."
leqembi,GO:0034205,antibody,True,AlzForum.Therapeutics,"BAN2401 is the humanized IgG1 version of the mouse monoclonal antibody mAb158, which selectively binds to large, soluble Aβ protofibrils."
leqembi,GO:0050435,antibody,True,AlzForum.Therapeutics,"BAN2401 is the humanized IgG1 version of the mouse monoclonal antibody mAb158, which selectively binds to large, soluble Aβ protofibrils."
levetiracetam,GO:0034205,small_molecule,True,AlzForum.Therapeutics,Levetiracetam is an atypical anti-convulsant medication and a modulator of the synaptic vesicle protein modulator SV2A.
levetiracetam,GO:0050435,small_molecule,True,AlzForum.Therapeutics,Levetiracetam is an atypical anti-convulsant medication and a modulator of the synaptic vesicle protein modulator SV2A.
lithium,GO:0034205,,True,AlzForum.Therapeutics,"Lithium has been used for decades to treat mood disorders, and is now mainly prescribed for bipolar disorder."
lithium,GO:0050435,,True,AlzForum.Therapeutics,"Lithium has been used for decades to treat mood disorders, and is now mainly prescribed for bipolar disorder."
lu-af20513,GO:0034205,antibody,True,AlzForum.Therapeutics,This active vaccine was designed to overcome the weak immune system of aged populations while avoiding auto-immune T cell responses.
lu-af20513,GO:0050435,antibody,True,AlzForum.Therapeutics,This active vaccine was designed to overcome the weak immune system of aged populations while avoiding auto-immune T cell responses.
lx1001,GO:0034205,gene_therapy,True,AlzForum.Therapeutics,This gene-therapy approach uses a viral vector to drive expression of human apolipoprotein E2 protein (APOE2) in the central nervous system.
lx1001,GO:0050435,gene_therapy,True,AlzForum.Therapeutics,This gene-therapy approach uses a viral vector to drive expression of human apolipoprotein E2 protein (APOE2) in the central nervous system.
ly2599666,GO:0034205,antibody,True,AlzForum.Therapeutics,"LY2599666 is an Fc-less, antigen-binding fragment of a monoclonal anti-Aβ antibody linked to polyethylene glycol."
ly2599666,GO:0050435,antibody,True,AlzForum.Therapeutics,"LY2599666 is an Fc-less, antigen-binding fragment of a monoclonal anti-Aβ antibody linked to polyethylene glycol."
ly2886721,GO:0034205,small_molecule,True,AlzForum.Therapeutics,LY2886721 was the first BACE inhibitor to reach Phase 2 clinical research.
ly2886721,GO:0050435,small_molecule,True,AlzForum.Therapeutics,LY2886721 was the first BACE inhibitor to reach Phase 2 clinical research.
ly3202626,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"LY3202626 is a potent small-molecule inhibitor of BACE1, the β-secretase enzyme that cleaves the APP protein to release its C99 fragment."
ly3202626,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"LY3202626 is a potent small-molecule inhibitor of BACE1, the β-secretase enzyme that cleaves the APP protein to release its C99 fragment."
medi1814,GO:0034205,antibody,True,AlzForum.Therapeutics,"Developed originally at MedImmune, now part of AstraZeneca, this antibody is being developed jointly by AstraZeneca and Eli Lilly."
medi1814,GO:0050435,antibody,True,AlzForum.Therapeutics,"Developed originally at MedImmune, now part of AstraZeneca, this antibody is being developed jointly by AstraZeneca and Eli Lilly."
memorem-transcranial-electromagnetic-treatment,GO:0034205,device_or_procedure,True,AlzForum.Therapeutics,"MemorEM™ is a patented, noninvasive technology that delivers ultrahigh radio frequency electromagnetic waves to the brain."
memorem-transcranial-electromagnetic-treatment,GO:0050435,device_or_procedure,True,AlzForum.Therapeutics,"MemorEM™ is a patented, noninvasive technology that delivers ultrahigh radio frequency electromagnetic waves to the brain."
mivelsiran,GO:0034205,gene_therapy,True,AlzForum.Therapeutics,This gene-silencing approach uses intrathecal injection of a small interfering RNA targeting the amyloid precursor protein mRNA as a potential treatment for Alzheimer’s disease and cerebral amyloid angiopathy.
mivelsiran,GO:0050435,gene_therapy,True,AlzForum.Therapeutics,This gene-silencing approach uses intrathecal injection of a small interfering RNA targeting the amyloid precursor protein mRNA as a potential treatment for Alzheimer’s disease and cerebral amyloid angiopathy.
nasal-insulin,GO:0034205,small_molecule,True,AlzForum.Therapeutics,Insulin is the peptide hormone that is standard treatment for the management of Type 1 diabetes.
nasal-insulin,GO:0050435,small_molecule,True,AlzForum.Therapeutics,Insulin is the peptide hormone that is standard treatment for the management of Type 1 diabetes.
nic5-15,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"NIC5-15 is pinitol, a naturally occurring cyclic sugar alcohol."
nic5-15,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"NIC5-15 is pinitol, a naturally occurring cyclic sugar alcohol."
nivegacetor,GO:0034205,small_molecule,True,AlzForum.Therapeutics,This second-generation γ-secretase modulator is in development for the treatment of Alzheimer's disease.
nivegacetor,GO:0050435,small_molecule,True,AlzForum.Therapeutics,This second-generation γ-secretase modulator is in development for the treatment of Alzheimer's disease.
octagam%C2%AE,GO:0034205,antibody,True,AlzForum.Therapeutics,NewGam/Octagam® is an intravenous immunoglobulin preparation by the Switzerland-based company Octapharma.
octagam%C2%AE,GO:0050435,antibody,True,AlzForum.Therapeutics,NewGam/Octagam® is an intravenous immunoglobulin preparation by the Switzerland-based company Octapharma.
pbt2,GO:0034205,small_molecule,True,AlzForum.Therapeutics,PBT2 is a metal protein-attenuating compound (MPAC) being developed for treatment of both Alzheimer's and Huntington's diseases.
pbt2,GO:0050435,small_molecule,True,AlzForum.Therapeutics,PBT2 is a metal protein-attenuating compound (MPAC) being developed for treatment of both Alzheimer's and Huntington's diseases.
pf-06648671,GO:0034205,small_molecule,True,AlzForum.Therapeutics,PF-06648671 is a γ-secretase modulator Pfizer was developing for the treatment of Alzheimer's disease.
pf-06648671,GO:0050435,small_molecule,True,AlzForum.Therapeutics,PF-06648671 is a γ-secretase modulator Pfizer was developing for the treatment of Alzheimer's disease.
pf-06751979,GO:0034205,small_molecule,True,AlzForum.Therapeutics,Pfizer developed the BACE 1 inhibitor PF-06751979 for the treatment of Alzheimer's disease to Phase 1.
pf-06751979,GO:0050435,small_molecule,True,AlzForum.Therapeutics,Pfizer developed the BACE 1 inhibitor PF-06751979 for the treatment of Alzheimer's disease to Phase 1.
pmn310,GO:0034205,antibody,True,AlzForum.Therapeutics,PMN310 is a humanized IgG1 monoclonal antibody to soluble Aβ oligomers.
pmn310,GO:0050435,antibody,True,AlzForum.Therapeutics,PMN310 is a humanized IgG1 monoclonal antibody to soluble Aβ oligomers.
ponezumab,GO:0034205,antibody,True,AlzForum.Therapeutics,Ponezumab (PF-04360365) is a therapeutic antibody originally developed by the small biotech company Rinat Neuroscience.
ponezumab,GO:0050435,antibody,True,AlzForum.Therapeutics,Ponezumab (PF-04360365) is a therapeutic antibody originally developed by the small biotech company Rinat Neuroscience.
pri-002,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"This 12-residue, enantiomeric peptide is designed to interfere with oligomerization of Aβ42 by binding to, and stabilizing, Aβ42 monomers."
pri-002,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"This 12-residue, enantiomeric peptide is designed to interfere with oligomerization of Aβ42 by binding to, and stabilizing, Aβ42 monomers."
prx012,GO:0034205,antibody,True,AlzForum.Therapeutics,PRX012 is a humanized monoclonal IgG1 antibody to an N-terminal epitope on Aβ.
prx012,GO:0050435,antibody,True,AlzForum.Therapeutics,PRX012 is a humanized monoclonal IgG1 antibody to an N-terminal epitope on Aβ.
remternetug,GO:0034205,antibody,True,AlzForum.Therapeutics,"Remternetug, previously LY3372993, is an investigational monoclonal antibody."
remternetug,GO:0050435,antibody,True,AlzForum.Therapeutics,"Remternetug, previously LY3372993, is an investigational monoclonal antibody."
rg7129,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"This is an orally administered inhibitor of the β-secretase BACE1, the sheddase enzyme that cleaves APP and sets up subsequent γ-secretase cleavage leading to generation of Aβ species."
rg7129,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"This is an orally administered inhibitor of the β-secretase BACE1, the sheddase enzyme that cleaves APP and sets up subsequent γ-secretase cleavage leading to generation of Aβ species."
s603,GO:0034205,small_molecule,True,AlzForum.Therapeutics,AS-S603 is a small molecule said to dissociate amyloid and tau protein aggregates.
s603,GO:0050435,small_molecule,True,AlzForum.Therapeutics,AS-S603 is a small molecule said to dissociate amyloid and tau protein aggregates.
sabirnetug,GO:0034205,antibody,True,AlzForum.Therapeutics,"This humanized IgG2 monoclonal antibody selectively binds soluble Aβ oligomers, aka Aβ-derived diffusible ligands (ADDLs)."
sabirnetug,GO:0050435,antibody,True,AlzForum.Therapeutics,"This humanized IgG2 monoclonal antibody selectively binds soluble Aβ oligomers, aka Aβ-derived diffusible ligands (ADDLs)."
sar228810,GO:0034205,antibody,True,AlzForum.Therapeutics,This is a monoclonal antibody directed primarily against soluble protofibrillar and fibrillar species of Aβ.
sar228810,GO:0050435,antibody,True,AlzForum.Therapeutics,This is a monoclonal antibody directed primarily against soluble protofibrillar and fibrillar species of Aβ.
semagacestat,GO:0034205,small_molecule,True,AlzForum.Therapeutics,Semagacestat is a γ-secretase inhibitor that reduces Aβ40 and 42 production and secretion by the γ-secretase enzyme complex.
semagacestat,GO:0050435,small_molecule,True,AlzForum.Therapeutics,Semagacestat is a γ-secretase inhibitor that reduces Aβ40 and 42 production and secretion by the γ-secretase enzyme complex.
sensory-stimulation-systems,GO:0034205,device_or_procedure,True,AlzForum.Therapeutics,"Sensory Stimulation Systems, and GENUS, refer to a noninvasive procedure, i.e., a ""digital therapeutic,"" being developed by Cognito Therapeutics."
sensory-stimulation-systems,GO:0050435,device_or_procedure,True,AlzForum.Therapeutics,"Sensory Stimulation Systems, and GENUS, refer to a noninvasive procedure, i.e., a ""digital therapeutic,"" being developed by Cognito Therapeutics."
shr-1707,GO:0034205,antibody,True,AlzForum.Therapeutics,"SHR-1707 is a humanized anti-Aβ IgG1 monoclonal antibody that, according to Hengrui Pharmaceuticals, binds to Aβ fibrils and monomers."
shr-1707,GO:0050435,antibody,True,AlzForum.Therapeutics,"SHR-1707 is a humanized anti-Aβ IgG1 monoclonal antibody that, according to Hengrui Pharmaceuticals, binds to Aβ fibrils and monomers."
simufilam,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"Simufilam binds to filamin, a ubiquitous scaffolding protein and regulator of the actin cytoskeleton."
simufilam,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"Simufilam binds to filamin, a ubiquitous scaffolding protein and regulator of the actin cytoskeleton."
solanezumab,GO:0034205,antibody,True,AlzForum.Therapeutics,Solanezumab is a humanized monoclonal IgG1 antibody directed against the mid-domain of the Aβ peptide.
solanezumab,GO:0050435,antibody,True,AlzForum.Therapeutics,Solanezumab is a humanized monoclonal IgG1 antibody directed against the mid-domain of the Aβ peptide.
thalidomide,GO:0034205,small_molecule,True,AlzForum.Therapeutics,Thalidomide is an immunomodulatory agent with a spectrum of activity that is only partly characterized.
thalidomide,GO:0050435,small_molecule,True,AlzForum.Therapeutics,Thalidomide is an immunomodulatory agent with a spectrum of activity that is only partly characterized.
troculeucel,GO:0034205,,True,AlzForum.Therapeutics,"Troculeucel is an immunotherapy consisting of a patient’s own natural killer cells that have been isolated, expanded in the lab, and re-infused."
troculeucel,GO:0050435,,True,AlzForum.Therapeutics,"Troculeucel is an immunotherapy consisting of a patient’s own natural killer cells that have been isolated, expanded in the lab, and re-infused."
trontinemab,GO:0034205,antibody,True,AlzForum.Therapeutics,"RO7126209 is a new version of the anti-amyloid monoclonal antibody gantenerumab , engineered to more easily cross the blood-brain barrier using Roche’s “brain shuttle” technology."
trontinemab,GO:0050435,antibody,True,AlzForum.Therapeutics,"RO7126209 is a new version of the anti-amyloid monoclonal antibody gantenerumab , engineered to more easily cross the blood-brain barrier using Roche’s “brain shuttle” technology."
ub-311,GO:0034205,antibody,True,AlzForum.Therapeutics,"UB-311 is a synthetic peptide vaccine developed by United Neuroscience, a spin-off of United Biomedical."
ub-311,GO:0050435,antibody,True,AlzForum.Therapeutics,"UB-311 is a synthetic peptide vaccine developed by United Neuroscience, a spin-off of United Biomedical."
umibecestat,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"CNP520 is an oral, small-molecule inhibitor of the aspartyl protease BACE designed to reduce Aβ production to prevent or treat Alzheimer's disease."
umibecestat,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"CNP520 is an oral, small-molecule inhibitor of the aspartyl protease BACE designed to reduce Aβ production to prevent or treat Alzheimer's disease."
vanutide-cridificar,GO:0034205,antibody,True,AlzForum.Therapeutics,This is an active immunotherapy strategy.
vanutide-cridificar,GO:0050435,antibody,True,AlzForum.Therapeutics,This is an active immunotherapy strategy.
varoglutamstat,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"PQ912 is an inhibitor of glutaminyl cyclase (QC), aka glutaminyl-peptide cyclotransferase (QPCT)."
varoglutamstat,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"PQ912 is an inhibitor of glutaminyl cyclase (QC), aka glutaminyl-peptide cyclotransferase (QPCT)."
verubecestat,GO:0034205,small_molecule,True,AlzForum.Therapeutics,MK-8931 is a small-molecule inhibitor of BACE1 and BACE2.
verubecestat,GO:0050435,small_molecule,True,AlzForum.Therapeutics,MK-8931 is a small-molecule inhibitor of BACE1 and BACE2.
vg-3927,GO:0034205,small_molecule,True,AlzForum.Therapeutics,"VG-3927 is a brain-penetrant, small-molecule agonist of the TREM2 receptor on microglia."
vg-3927,GO:0050435,small_molecule,True,AlzForum.Therapeutics,"VG-3927 is a brain-penetrant, small-molecule agonist of the TREM2 receptor on microglia."
vhb937,GO:0034205,antibody,True,AlzForum.Therapeutics,VHB937 is a humanized monoclonal antibody to the immune receptor TREM2.
vhb937,GO:0050435,antibody,True,AlzForum.Therapeutics,VHB937 is a humanized monoclonal antibody to the immune receptor TREM2.
zervimesine,GO:0034205,small_molecule,True,AlzForum.Therapeutics,Zervimesine/CT1812 is a small-molecule antagonist of the sigma2 receptor.
zervimesine,GO:0050435,small_molecule,True,AlzForum.Therapeutics,Zervimesine/CT1812 is a small-molecule antagonist of the sigma2 receptor.
