id,label,url,synonyms,short_summary,category,has_function_section,has_pathology_section,has_genetics_section,has_therapeutics_section,source,raw_source_ids
ALZPEDIA:abca7,ABCA7,https://www.alzforum.org/alzpedia/abca7,"ATP-binding cassette, sub-family A, member 7",ABCA7 is a member of the highly conserved superfamily of ATP-binding cassette (ABC) transporters.,protein_or_gene,False,False,False,False,AlzPedia,abca7
ALZPEDIA:adam10,ADAM10,https://www.alzforum.org/alzpedia/adam10,"ADAM-10, AD10, MADM, HsT18717, A Disintegrin and Metalloproteinase10, CD156c",ADAM10 stands for A Disintegrin and Metalloproteinase 10.,protein_or_gene,False,False,False,False,AlzPedia,adam10
ALZPEDIA:amyloid-v-av,Amyloid-β (Aβ),https://www.alzforum.org/alzpedia/amyloid-v-av,Abeta,Amyloid-β (Aβ) peptides are produced from the regulated intramembrane proteolysis of the amyloid precursor protein (APP).,protein_or_gene,False,False,False,False,AlzPedia,amyloid-v-av
ALZPEDIA:apoe,APOE,https://www.alzforum.org/alzpedia/apoe,"Apolipoprotein E, LPG, LDLCQ5, AD2",Apolipoprotein E is a secreted apolipoprotein involved in lipid metabolism.,protein_or_gene,False,False,False,False,AlzPedia,apoe
ALZPEDIA:app,APP,https://www.alzforum.org/alzpedia/app,"(Amyloid Precursor Protein), amyloid beta (A4) precursor protein",The amyloid precursor protein (APP) is central to the study of Alzheimer’s disease.,protein_or_gene,False,False,False,False,AlzPedia,app
ALZPEDIA:bace1,BACE1,https://www.alzforum.org/alzpedia/bace1,"beta-secretase 1, beta-Site amyloid beta A4 precursor protein-cleaving enzyme, memapsin-2 (membrane-associated aspartic protease 2), aspartyl protease 2 (ASP2), HSPC104",BACE1 encodes a transmembrane aspartyl protease responsible for β-secretase processing of the amyloid precursor protein (APP).,protein_or_gene,False,False,False,False,AlzPedia,bace1
ALZPEDIA:bridging-integrator-1-bin1-0,Bridging integrator 1 (BIN1),https://www.alzforum.org/alzpedia/bridging-integrator-1-bin1-0,"amphiphysin 2, AMPH2, AMPHL, SH3P9",Bridging integrator 1 (BIN1) is a widely expressed adaptor protein that is part of the Bin1/amphiphysin/RVS167 (BAR) family.,protein_or_gene,False,False,False,False,AlzPedia,bridging-integrator-1-bin1-0
ALZPEDIA:c9orf72,C9ORF72,https://www.alzforum.org/alzpedia/c9orf72,"chromosome 9 open reading frame 72, FTDALS, ALSFTD",The most common mutation for familial frontotemporal dementia (FTD) and amyotrophic lateral sclerosis (ALS) is in the chromosome 9 open reading frame 72 gene (C9ORF72).,protein_or_gene,False,False,False,False,AlzPedia,c9orf72
ALZPEDIA:cd33-0,CD33,https://www.alzforum.org/alzpedia/cd33-0,"p67, SIGLEC3, SIGLEC-3",CD33 is a transmembrane receptor of the innate immune system that is expressed on the surface of peripheral monocytes and microglial cells in the brain.,protein_or_gene,False,False,False,False,AlzPedia,cd33-0
ALZPEDIA:clusterin,Clusterin,https://www.alzforum.org/alzpedia/clusterin,"apolipoprotein J (ApoJ), sulfated glycoprotein-2 (SGP-2), secreted glycoprotein gp80, complement-associated protein SP-40, complement lysis inhibitor (CLI), testosterone- repressed prostate message 2 (TRPM-2)",Clusterin is a highly conserved glycoprotein that functions primarily as an extracellular chaperone.,protein_or_gene,False,False,False,False,AlzPedia,clusterin
ALZPEDIA:complement-receptor-1-cr1,Complement Receptor 1 (CR1),https://www.alzforum.org/alzpedia/complement-receptor-1-cr1,"Complement component (3b/4b) receptor 1, CD35 antigen, C3b/C4b receptor, C3-binding protein, Knops blood group antigen",The complement receptor 1 (CR1) gene encodes a transmembrane glycoprotein that functions in the innate immune system.,protein_or_gene,False,False,False,False,AlzPedia,complement-receptor-1-cr1
ALZPEDIA:fus,FUS,https://www.alzforum.org/alzpedia/fus,"Fused in Sarcoma, Translated in Liposarcoma (TLS), FUS/TLS, HNRNPP2, ALS6","Originally identified as a pro-oncogene, FUS came to the attention of neurodegenerative disease research in 2009, when mutations in this gene were linked to amyotrophic lateral sclerosis (ALS).",protein_or_gene,False,False,False,False,AlzPedia,fus
ALZPEDIA:gba,GBA,https://www.alzforum.org/alzpedia/gba,"Lysosomal glucocerebrosidase, acid β-glucosidase, GBA1, D-glucosyl-N-acylsphingosine glucohydrolase, GCase","Homozygous mutations in the GBA gene cause Gaucher’s disease, the most common lysosomal storage disorder.",protein_or_gene,False,False,False,False,AlzPedia,gba
ALZPEDIA:leucine-rich-repeat-kinase-2-lrrk2,Leucine-rich repeat kinase 2 (LRRK2),https://www.alzforum.org/alzpedia/leucine-rich-repeat-kinase-2-lrrk2,"PARK8, dardarin",Missense mutations in LRRK2 were first identified as a cause of Parkinson’s disease (PD) in 2004.,protein_or_gene,False,False,False,False,AlzPedia,leucine-rich-repeat-kinase-2-lrrk2
ALZPEDIA:picalm,PICALM,https://www.alzforum.org/alzpedia/picalm,"phosphatidylinositol binding clathrin assembly protein, clathrin assembly lymphoid-myeloid leukemia (CALM) protein, LAP, CLTH",PICALM is an accessory protein in the endocytic pathway.,protein_or_gene,False,False,False,False,AlzPedia,picalm
ALZPEDIA:presenilin-1-psen1,Presenilin-1 (PSEN1),https://www.alzforum.org/alzpedia/presenilin-1-psen1,"PS1, PS-1, S182, AD3",Presenilins were originally identified as the genes harboring mutations that cause autosomal-dominant Alzheimer’s disease.,protein_or_gene,False,False,False,False,AlzPedia,presenilin-1-psen1
ALZPEDIA:presenilin-2-psen2,Presenilin-2 (PSEN2),https://www.alzforum.org/alzpedia/presenilin-2-psen2,"PS2, AD4, AD3L, STM2, CMD1V",Presenilin-2 (PSEN2) is one of two highly homologous presenilin genes expressed in vertebrates.,protein_or_gene,False,False,False,False,AlzPedia,presenilin-2-psen2
ALZPEDIA:progranulin,Progranulin,https://www.alzforum.org/alzpedia/progranulin,"GRN, PGRN, granulin precursor, granulin, proepithelin, PC cell-derived growth factor (PCDGF), GP88, PEPI, CLN11, Granulin Epithelin Precursor (GEP)","Progranulin burst on the scene of neurodegenerative disease as a major genetic cause of frontotemporal dementia (FTD) in 2006, only months before TDP-43 was identified as the main protein constituent of the histopathological lesions in the same patients.",protein_or_gene,False,False,False,False,AlzPedia,progranulin
ALZPEDIA:snca-synuclein-0,SNCA (α-synuclein),https://www.alzforum.org/alzpedia/snca-synuclein-0,"PD1, NACP, PARK1, PARK","Point mutations in the α-synuclein gene (SNCA), as well as duplication or triplication of wild-type SNCA, cause autosomal-dominant Parkinson’s disease.",protein_or_gene,False,False,False,False,AlzPedia,snca-synuclein-0
ALZPEDIA:sorla-sorl1,SORLA (SORL1),https://www.alzforum.org/alzpedia/sorla-sorl1,"Sorting protein-related receptor containing LDLR class-A repeats, Sortilin-related receptor, SORLA1, LR11, LRP9, gp250, C11orf32",The sortilin-related receptor SORLA is an endocytic receptor that belongs to the vacuolar protein sorting 10 (VPS10) domain receptor family.,protein_or_gene,False,False,False,False,AlzPedia,sorla-sorl1
ALZPEDIA:tau-mapt,Tau (MAPT),https://www.alzforum.org/alzpedia/tau-mapt,"TAU, MSTD, MAPTL, Microtubule-associated protein tau",Tau has been the subject of study since its discovery in 1975.,protein_or_gene,False,False,False,False,AlzPedia,tau-mapt
ALZPEDIA:tdp-43,TDP-43,https://www.alzforum.org/alzpedia/tdp-43,"TAR DNA-binding protein 43, TDP43, TARDBP, ALS10, transactive response DNA-binding protein of 43 kDa","In 2006, TAR DNA-binding protein 43 (TDP-43) was identified as the cardinal protein in the most common subtypes of frontotemporal dementia (FTD) and amyotrophic lateral sclerosis (ALS).",protein_or_gene,False,False,False,False,AlzPedia,tdp-43
ALZPEDIA:trem2,TREM2,https://www.alzforum.org/alzpedia/trem2,"Triggering receptor expressed on myeloid cells 2, Trem2a, Trem2b, Trem2c, TREM-2","Triggering receptor expressed on myeloid cells 2 (TREM2) is a receptor of the innate immune system expressed on microglia, macrophages, dendritic cells, and osteoclasts.",protein_or_gene,False,False,False,False,AlzPedia,trem2
